Type	Allocations	Bytes
 - System.Collections.Generic.List<>	237,933	7,613,856
 - System.String	128,696	5,339,698
 - System.Collections.ObjectModel.Collection<>	125,001	3,000,024
 - System.Collections.Generic.List<>.Enumerator	124,285	4,971,400
 - System.Int32	115,446	2,770,704
 - System.Linq.Enumerable.EnumerablePartition<>	75,002	4,200,112
 - System.Collections.Generic.Stack<>.Enumerator	75,002	3,000,080
 - System.Collections.Generic.HashSet<>	70,005	4,480,320
 - System.SZGenericArrayEnumerator<>	50,147	1,604,704
 - Microsoft.OData.ODataProperty	45,000	2,880,000
 - Microsoft.OData.ReadOnlyEnumerable<>	40,000	1,280,000
 - Microsoft.OData.ODataPrimitiveValue	40,000	1,600,000
 - Microsoft.OData.ODataUri	35,004	6,440,736
 - System.Int32[]	31,825	1,177,380
 - System.Collections.Generic.KeyValuePair<,>[]	30,036	1,682,064
 - Microsoft.OData.Json.JsonWriter.Scope	30,002	1,200,080
 - Microsoft.OData.UriParser.ODataPath	30,001	720,024
 - Microsoft.OData.ODataResourceTypeContext.ODataResourceTypeContextWithModel	25,001	2,000,080
 - System.Collections.Generic.Dictionary<,>.Entry[]	21,762	2,269,224
 - System.Collections.Generic.Dictionary<,>	21,645	1,558,440
 - Microsoft.OData.UriParser.ODataPathSegment[]	20,002	1,120,048
 - Microsoft.OData.InstanceAnnotationWriteTracker	20,001	480,024
 - System.Collections.Generic.Queue<>.Enumerator	20,000	800,000
 - System.Collections.Generic.Queue<>	20,000	800,000
 - Microsoft.OData.ODataResource	20,000	2,560,000
 - Microsoft.OData.ODataProperty[]	20,000	840,000
 - Microsoft.OData.JsonLight.ODataJsonLightWriter.JsonLightResourceScope	20,000	2,560,000
 - Microsoft.OData.JsonLight.ODataJsonLightWriter.JsonLightNestedResourceInfoScope	20,000	1,600,000
 - Microsoft.OData.Evaluation.NoOpResourceMetadataBuilder	20,000	960,000
 - Microsoft.OData.DuplicatePropertyNameChecker	20,000	480,000
 - ODataWriterVsSystemTextJson.Address	15,000	480,000
 - System.Collections.Generic.HashSet<>.Slot[]	10,004	720,468
 - System.Collections.ObjectModel.ReadOnlyCollection<>	10,001	240,024
 - Microsoft.OData.SelectedPropertiesNode	10,001	640,064
 - Microsoft.OData.UriParser.SplitEndingSegmentOfTypeHandler<>	10,000	320,000
 - Microsoft.OData.UriParser.PropertySegment	10,000	560,000
 - Microsoft.OData.UriParser.KeySegment	10,000	720,000
 - Microsoft.OData.ODataNestedResourceInfo	10,000	960,000
 - System.String[]	5,799	835,856
 - System.SByte[]	5,740	345,928
 - ODataWriterVsSystemTextJson.Address[]	5,001	280,024
 - Microsoft.OData.ResourceSetWithoutExpectedTypeValidator	5,001	120,024
 - Microsoft.OData.ODataResourceSet	5,001	520,104
 - Microsoft.OData.JsonLight.ODataJsonLightWriter.JsonLightResourceSetScope	5,001	600,120
 - ODataWriterVsSystemTextJson.Customer	5,000	280,000
 - Microsoft.OData.ODataCollectionValue	5,000	240,000
 - Microsoft.OData.Edm.Csdl.CsdlLocation	2,965	118,600
 - System.Linq.Enumerable.WhereEnumerableIterator<>	2,157	120,904
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlAttributeInfo	2,060	98,880
 - System.Linq.Enumerable.SelectEnumerableIterator<,>	1,554	87,024
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlElementValueExtensions.<OfResultType>d__0<>	1,540	86,240
 - System.Func<,,>	1,525	97,600
 - System.Linq.Enumerable.WhereListIterator<>	1,377	99,144
 - Microsoft.Win32.SafeHandles.SafeLocalAllocHandle	1,182	47,280
 - System.Func<,>	1,027	65,728
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlElementValue<>	971	46,608
 - System.Linq.Utilities.<>c__DisplayClass1_0<>	887	28,384
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlElementInfo.<Microsoft-OData-Edm-Csdl-Parsing-Common-IXmlElementAttributes-get_Unused>d__4	887	42,576
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlElementInfo	887	42,576
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlDocumentParser.ElementScope	887	35,480
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlAttributeInfo[]	886	50,448
 - System.Collections.Generic.Dictionary<,>.ValueCollection	860	20,640
 - System.Collections.Generic.Dictionary<,>.ValueCollection.Enumerator	859	34,360
 - System.Char[]	844	376,408
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlElementParser<>	658	26,320
 - Microsoft.OData.Edm.Csdl.Parsing.Common.EdmXmlDocumentParser<>.<>c__DisplayClass11_0<>	658	21,056
 - System.Object[]	510	185,776
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlElementValue[]	500	32,512
 - Microsoft.OData.Edm.Cache<,>	478	11,472
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlElementValueCollection	460	14,720
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlConstantExpression	424	20,352
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlAnnotation	415	23,240
 - System.Xml.NameTable.Entry	378	15,120
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlElementParser[]	211	12,064
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlProperty	194	10,864
 - System.Object	186	4,464
 - System.Text.StringBuilder	158	7,584
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlNamedTypeReference	153	13,464
 - System.RuntimeType	140	5,600
 - System.Xml.XmlTextReaderImpl.NodeData	131	16,768
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlTerm	97	6,208
 - Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsTerm	97	6,984
 - Microsoft.OData.Edm.VersioningList<>.ArrayVersioningList	84	2,016
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlProperty[]	77	5,496
 - Microsoft.OData.Edm.Vocabularies.IEdmDirectValueAnnotation[]	70	3,272
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlPrimitiveTypeReference	69	6,624
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlExpressionTypeReference	69	3,312
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlCollectionType	69	2,760
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlStringTypeReference	66	6,336
 - Microsoft.OData.Edm.VersioningDictionary<,>.OneKeyDictionary	59	2,360
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlComplexType	59	4,248
 - Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsComplexTypeDefinition	59	5,192
 - Microsoft.OData.Edm.Vocabularies.EdmDirectValueAnnotation	52	2,080
 - System.Xml.XmlReaderSettings	46	4,784
 - System.RuntimeType[]	46	1,440
 - System.RuntimeType.RuntimeTypeCache	46	6,992
 - System.Byte[]	45	36,086
 - System.Type[]	44	1,472
 - System.Runtime.CompilerServices.GCHeapHash	44	1,408
 - Microsoft.OData.ODataMediaTypeFormat	42	1,344
 - Microsoft.OData.ODataMediaType	42	1,680
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlEnumMember	38	2,128
 - Microsoft.OData.Edm.EdmPrimitiveTypeKind	34	816
 - Microsoft.OData.Edm.EdmCoreModelPrimitiveType	34	1,360
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlElementParser.<>c__7<>	34	816
 - System.Collections.Generic.Stack<>	32	1,024
 - System.Xml.XmlTextReaderImpl.XmlContext	29	1,392
 - System.Collections.Generic.Dictionary<,>.Enumerator	29	1,624
 - System.RuntimeFieldInfoStub	28	1,792
 - System.IntPtr[]	27	1,296
 - System.Xml.XmlTextReaderImpl.NodeData[]	26	2,928
 - System.Action	24	1,536
 - Microsoft.OData.Edm.VersioningList<>.EmptyVersioningList	24	576
 - System.Func<>	23	1,472
 - System.Threading.Tasks.Task<>	22	1,728
 - Microsoft.OData.Edm.EdmPrimitiveTypeReference	22	704
 - System.Xml.NameTable.Entry[]	21	6,648
 - System.Linq.Enumerable.SelectArrayIterator<,>	21	1,176
 - System.Linq.Enumerable.ConcatNIterator<>	21	1,344
 - Microsoft.OData.Edm.Csdl.Parsing.CsdlDocumentParser.<>c__DisplayClass6_0	21	672
 - Microsoft.OData.Edm.IEdmModel[]	20	952
 - System.Collections.Concurrent.ConcurrentDictionary<,>.Tables	19	760
 - System.Collections.Concurrent.ConcurrentDictionary<,>.Node[]	19	6,968
 - System.Collections.Concurrent.ConcurrentDictionary<,>	19	760
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlDocumentParser.ElementScope[]	19	1,160
 - System.Xml.XmlTextReaderImpl.LaterInitParam	18	1,584
 - System.Xml.XmlTextReaderImpl	18	10,080
 - System.Xml.XmlNamespaceManager.NamespaceDeclaration[]	18	3,888
 - System.Xml.XmlNamespaceManager	18	1,296
 - System.Xml.NameTable	18	576
 - System.Linq.Enumerable.SelectManySingleSelectorIterator<,>	18	1,264
 - Microsoft.OData.SimpleLazy<>	18	864
 - Microsoft.OData.Edm.Vocabularies.IEdmTerm[]	18	2,768
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlElementValueExtensions.<>c__1<>	18	432
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlTerm[]	18	2,768
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlRecordExpression	18	864
 - System.UriParser.BuiltInUriParser	17	544
 - System.Uri	17	1,224
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlPropertyValue[]	17	920
 - System.Uri.UriInfo	16	1,152
 - Microsoft.OData.Edm.VersioningDictionary<,>.EmptyVersioningDictionary	16	384
 - Microsoft.OData.Edm.IEdmSchemaType[]	16	2,176
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlPropertyValue	16	768
 - Microsoft.OData.Edm.VersioningTree<,>	15	840
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlElementInfo[]	15	808
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlAnnotationInfo[]	15	808
 - System.Xml.XmlCharCheckingReaderWithNS	14	1,008
 - System.Text.EncoderReplacementFallback	14	336
 - System.Text.DecoderReplacementFallback	14	336
