Function Name	Total (Allocations)	Self (Allocations)	Self Size (Bytes)	Module Name
 + ODataWriterVsSystemTextJson (PID: 24864)	1,710,817	32	11,420	Multiple modules
| + System.Threading._IOCompletionCallback.PerformIOCompletionCallback(uint, uint, System.Threading.NativeOverlapped*)	1,526,265	15	3,320	system.private.corelib.il
|| + System.Net.ListenerAsyncResult.IOCompleted(System.Net.ListenerAsyncResult, uint, uint)	1,526,250	90	6,622	system.net.httplistener.il
||| + System.Net.LazyAsyncResult.Complete(int)	1,526,108	9	408	system.net.httplistener.il
|||| + System.Threading.Tasks.TaskFactory<T>.FromAsyncImpl.AnonymousMethod__0(System.IAsyncResult)	1,526,097	2	112	system.private.corelib.il
||||| + System.Threading.Tasks.TaskFactory<T>.FromAsyncCoreLogic(System.IAsyncResult, System.Func<System.IAsyncResult, T>, System.Action<System.IAsyncResult>, System.Threading.Tasks.Task<T>, bool)	1,526,095	21	1,000	system.private.corelib.il
|||||| + System.Threading.Tasks.Task<T>.TrySetResult(T)	1,526,065	10	480	system.private.corelib.il
||||||| + System.Threading.Tasks.Task.RunContinuations(object)	1,526,055	2	112	system.private.corelib.il
|||||||| + System.Threading.Tasks.AwaitTaskContinuation.RunOrScheduleAction(System.Runtime.CompilerServices.IAsyncStateMachineBox, bool)	1,526,053	8	560	system.private.corelib.il
||||||||| + System.Runtime.CompilerServices.AsyncTaskMethodBuilder<System.Threading.Tasks.VoidTaskResult, ODataWriterVsSystemTextJson.ExperimentServer.HandleRequests>.MoveNext(System.Threading.Thread)	1,526,044	0	0	system.private.corelib.il
|||||||||| + System.Threading.ExecutionContext.RunInternal(System.Threading.ExecutionContext, System.Threading.ContextCallback, object)	1,526,043	1	288	system.private.corelib.il
||||||||||| + ODataWriterVsSystemTextJson.ExperimentServer.HandleRequests()	1,526,042	83	14,504	odatawritervssystemtextjson
|||||||||||| + ODataWriterVsSystemTextJson.ODataSyncExperimentWriter.WriteCustomers(System.Collections.Generic.IEnumerable<ODataWriterVsSystemTextJson.Customer>, System.IO.Stream)	1,525,740	230,069	11,484,724	odatawritervssystemtextjson
