Name	Total (Allocations)	Self (Allocations)	Self Size (Bytes)
 + ODataWriterVsSystemTextJson (PID: 24864)	1,710,817	32	11,420
| + microsoft.odata.core.dll	1,295,668	767,068	38,363,306
|| - Microsoft.OData.ODataUri.Clone()	35,017	35,005	6,440,688
|| - Microsoft.OData.JsonLight.ODataJsonLightWriter.CreateResourceScope(Microsoft.OData.ODataResource, Microsoft.OData.Edm.IEdmNavigationSource, Microsoft.OData.Edm.IEdmStructuredType, bool, Microsoft.OData.SelectedPropertiesNode, Microsoft.OData.ODataUri, bool)	60,006	20,005	2,560,248
|| - Microsoft.OData.JsonLightInstanceAnnotationWriter.WriteInstanceAnnotations(System.Collections.Generic.IEnumerable<Microsoft.OData.ODataInstanceAnnotation>, Microsoft.OData.InstanceAnnotationWriteTracker, bool, string)	80,004	40,002	2,560,128
|| - Microsoft.OData.ODataResourceBase.ctor()	80,000	80,000	2,400,000
|| - Microsoft.OData.ODataPrimitiveValue.ctor(object)	80,003	80,001	2,240,080
|| - Microsoft.OData.Json.JsonValueUtils.CreateSpecialCharToEscapedStringMap()	130,884	65,441	2,094,872
|| - Microsoft.OData.ODataResourceTypeContext.Create(Microsoft.OData.ODataResourceSerializationInfo, Microsoft.OData.Edm.IEdmNavigationSource, Microsoft.OData.Edm.IEdmEntityType, Microsoft.OData.Edm.IEdmStructuredType, bool)	25,003	25,002	2,000,128
|| - Microsoft.OData.WriterValidator.CreateDuplicatePropertyNameChecker()	40,001	40,001	1,920,080
|| - Microsoft.OData.ODataValueUtils.ToODataValue(object)	120,009	40,006	1,600,352
|| - Microsoft.OData.UriParser.ODataPathExtensions.AddKeySegment(Microsoft.OData.UriParser.ODataPath, System.Collections.Generic.IEnumerable<System.Collections.Generic.KeyValuePair<string, object>>, Microsoft.OData.Edm.IEdmEntityType, Microsoft.OData.Edm.IEdmNavigationSource)	140,011	40,008	1,520,342
|| - Microsoft.OData.InstanceAnnotationWriteTracker.ctor()	20,001	20,001	1,280,064
|| - Microsoft.OData.Json.JsonWriter.StartScope(ScopeType)	30,060	30,014	1,200,688
|| - Microsoft.OData.JsonLight.ODataJsonLightResourceSerializer.WriteResourceStartMetadataProperties(Microsoft.OData.JsonLight.IODataJsonLightWriterResourceState)	20,012	20,010	960,616
|| - Microsoft.OData.ODataWriterCore.AppendEntitySetKeySegment(Microsoft.OData.UriParser.ODataPath, bool)	220,019	20,007	960,480
|| - Microsoft.OData.UriParser.ODataPath.ctor(System.Collections.Generic.IEnumerable<Microsoft.OData.UriParser.ODataPathSegment>)	70,014	30,002	960,112
|| - Microsoft.OData.ODataWriterCore.EnterScope(WriterState, Microsoft.OData.ODataItem)	405,215	20,035	801,974
|| - Microsoft.OData.UriParser.SplitEndingSegmentOfTypeHandler<T>.ctor()	20,000	20,000	800,000
|| - Microsoft.OData.JsonLight.ODataJsonLightWriter+JsonLightNestedResourceInfoScope.Clone(WriterState)	10,000	10,000	800,000
|| - Microsoft.OData.JsonLight.ODataJsonLightWriter.CreateNestedResourceInfoScope(WriterState, Microsoft.OData.ODataNestedResourceInfo, Microsoft.OData.Edm.IEdmNavigationSource, Microsoft.OData.Edm.IEdmType, bool, Microsoft.OData.SelectedPropertiesNode, Microsoft.OData.ODataUri)	10,000	10,000	800,000
|| - Microsoft.OData.ODataResourceBase.get_NonComputedActions()	20,000	20,000	640,000
|| - Microsoft.OData.ODataResourceBase.get_NonComputedFunctions()	20,000	20,000	640,000
|| - Microsoft.OData.SelectedPropertiesNode.GetSelectedPropertiesForNavigationProperty(Microsoft.OData.Edm.IEdmStructuredType, string)	10,000	10,000	640,000
|| - Microsoft.OData.ODataResourceSet.ctor()	20,007	20,004	600,120
|| - Microsoft.OData.JsonLight.ODataJsonLightWriter.CreateResourceSetScope(Microsoft.OData.ODataResourceSet, Microsoft.OData.Edm.IEdmNavigationSource, Microsoft.OData.Edm.IEdmType, bool, Microsoft.OData.SelectedPropertiesNode, Microsoft.OData.ODataUri, bool)	5,001	5,001	600,120
|| - Microsoft.OData.JsonLight.ODataJsonLightWriter.StartResource(Microsoft.OData.ODataResource)	237,982	20,038	482,644
|| - Microsoft.OData.UriParser.ODataPath.GetEnumerator()	10,000	10,000	400,000
|| - Microsoft.OData.UriParser.KeySegment.ctor(System.Collections.Generic.IEnumerable<System.Collections.Generic.KeyValuePair<string, object>>, Microsoft.OData.Edm.IEdmEntityType, Microsoft.OData.Edm.IEdmNavigationSource)	30,000	10,000	240,000
|| - Microsoft.OData.ODataWriterCore.PushScope(WriterState, Microsoft.OData.ODataItem, Microsoft.OData.Edm.IEdmNavigationSource, Microsoft.OData.Edm.IEdmType, bool, Microsoft.OData.SelectedPropertiesNode, Microsoft.OData.ODataUri, System.Collections.Generic.IEnumerable<string>)	80,108	5,019	120,936
|| - Microsoft.OData.ODataWriterCore.InterceptException<T>(System.Action<Microsoft.OData.ODataWriterCore, T>, T)	514,373	37	9,316
|| - Microsoft.OData.SimpleLazy<T>.CreateValue()	48	14	5,000
|| - Microsoft.OData.ODataMediaTypeResolver.SetJsonLightMediaTypes()	114	108	4,664
|| - Microsoft.OData.JsonLight.ODataJsonLightWriter.StartResourceSet(Microsoft.OData.ODataResourceSet)	146,283	70	4,482
|| - Microsoft.OData.ODataMessageWriter.EnsureODataFormatAndContentType()	104	29	3,954
|| - Microsoft.OData.ODataWriterCore.WriteStartResourceSetImplementation(Microsoft.OData.ODataResourceSet)	20,185	57	3,004
|| - Microsoft.OData.ODataMessageWriterSettings.CopyFrom(Microsoft.OData.ODataMessageWriterSettings)	52	37	2,800
|| - Microsoft.OData.JsonLight.ODataJsonLightSerializer.ctor(Microsoft.OData.JsonLight.ODataJsonLightOutputContext, bool)	48	46	2,544
|| - Microsoft.OData.JsonLight.ODataJsonLightWriter.ctor(Microsoft.OData.JsonLight.ODataJsonLightOutputContext, Microsoft.OData.Edm.IEdmNavigationSource, Microsoft.OData.Edm.IEdmStructuredType, bool, bool, bool, Microsoft.OData.IODataReaderWriterListener)	224	32	2,264
|| - Microsoft.OData.ODataMessageWriterSettings.CreateWriterSettings(System.IServiceProvider, Microsoft.OData.ODataMessageWriterSettings)	84	31	2,256
|| - Microsoft.OData.JsonLight.ODataJsonLightPropertySerializer.WriteCollectionProperty(Microsoft.OData.ODataCollectionValue, bool)	10,459	28	2,144
|| - Microsoft.OData.ODataWriterCore.WriteStartResourceImplementation.AnonymousMethod__147_0(Microsoft.OData.ODataWriterCore, Microsoft.OData.ODataResource)	130,048	32	1,888
|| - Microsoft.OData.ODataWriterCore.WriteEndImplementation.AnonymousMethod__163_0(Microsoft.OData.ODataWriterCore)	120,090	29	1,864
|| - Microsoft.OData.JsonLight.ODataJsonLightPropertySerializer.WriteProperties(Microsoft.OData.Edm.IEdmStructuredType, System.Collections.Generic.IEnumerable<Microsoft.OData.ODataProperty>, bool, Microsoft.OData.IDuplicatePropertyNameChecker, Microsoft.OData.Evaluation.ODataResourceMetadataBuilder)	77,730	28	1,816
|| - Microsoft.OData.ODataMediaTypeResolver.cctor()	188	40	1,660
|| - Microsoft.OData.ODataWriterCore.InterceptException(System.Action<Microsoft.OData.ODataWriterCore>)	120,106	16	1,568
|| - Microsoft.OData.Metadata.EdmLibraryExtensions.cctor()	82	36	1,536
|| - Microsoft.OData.PropertyCache.GetProperty(Microsoft.OData.Edm.IEdmModel, int, string, Microsoft.OData.Edm.IEdmStructuredType)	89	16	1,480
|| - Microsoft.OData.JsonLight.ODataJsonLightOutputContext.ctor(Microsoft.OData.ODataMessageInfo, Microsoft.OData.ODataMessageWriterSettings)	68	25	1,376
|| - Microsoft.OData.ODataContextUriBuilder.BuildContextUri(Microsoft.OData.ODataPayloadKind, Microsoft.OData.ODataContextUrlInfo)	51	22	1,306
|| - Microsoft.OData.JsonLight.ODataJsonLightPropertySerializer.WritePrimitiveProperty(Microsoft.OData.ODataPrimitiveValue, bool)	1,004	20	1,280
|| - Microsoft.OData.JsonLight.ODataJsonLightValueSerializer.WritePrimitiveValue(object, Microsoft.OData.Edm.IEdmTypeReference, Microsoft.OData.Edm.IEdmTypeReference)	10	5	1,256
|| - Microsoft.OData.JsonLight.ODataJsonLightPropertySerializer.ResolvePrimitiveValueTypeName(Microsoft.OData.ODataPrimitiveValue, bool)	111	25	1,160
|| - Microsoft.OData.ODataWriterCore.WriteStartResourceSetImplementation.AnonymousMethod__142_0(Microsoft.OData.ODataWriterCore, Microsoft.OData.ODataResourceSet)	146,306	23	1,152
|| - Microsoft.OData.Metadata.EdmLibraryExtensions.ToTypeReference(Microsoft.OData.Edm.IEdmPrimitiveType, bool)	32	32	1,144
|| - Microsoft.OData.PropertySerializationInfo.ctor(Microsoft.OData.Edm.IEdmModel, string, Microsoft.OData.Edm.IEdmStructuredType)	55	20	1,096
|| - Microsoft.OData.Json.JsonValueUtils.cctor()	130,920	16	1,090
|| - Microsoft.OData.Json.ODataJsonFormat.CreateOutputContext(Microsoft.OData.ODataMessageInfo, Microsoft.OData.ODataMessageWriterSettings)	85	17	1,016
|| - Microsoft.OData.ODataMessageWriter.WriteToOutput<T>(Microsoft.OData.ODataPayloadKind, System.Func<Microsoft.OData.ODataOutputContext, T>)	246	21	1,004
|| - Microsoft.OData.JsonLight.ODataJsonLightPropertySerializer.WritePropertyInfo(Microsoft.OData.ODataPropertyInfo, Microsoft.OData.Edm.IEdmStructuredType, bool, Microsoft.OData.IDuplicatePropertyNameChecker, Microsoft.OData.Evaluation.ODataResourceMetadataBuilder)	40,127	16	952
|| - Microsoft.OData.ODataMessageWriter.ctor(Microsoft.OData.IODataResponseMessage, Microsoft.OData.ODataMessageWriterSettings, Microsoft.OData.Edm.IEdmModel)	310	20	894
|| - Microsoft.OData.ODataWriterCore.InterceptException<T>(System.Action<Microsoft.OData.ODataWriterCore, T>, T)	17	17	832
|| - Microsoft.OData.JsonLight.ODataJsonLightResourceSerializer.WriteResourceSetContextUri(Microsoft.OData.ODataResourceTypeContext)	131,040	14	824
|| - Microsoft.OData.MediaTypeUtils.GetContentTypeFromSettings(Microsoft.OData.ODataMessageWriterSettings, Microsoft.OData.ODataPayloadKind, Microsoft.OData.ODataMediaTypeResolver, ref Microsoft.OData.ODataMediaType, ref System.Text.Encoding)	62	13	798
|| - Microsoft.OData.ODataWriterCore.PromoteNestedResourceInfoScope(Microsoft.OData.ODataItem)	10,012	12	792
|| - Microsoft.OData.ODataMessageWriter.SetOrVerifyHeaders(Microsoft.OData.ODataPayloadKind)	131	15	776
